% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
 79 -2.856667e-07 -2.377883e-07 -6.373184e-06 -5.775227e-10 2.334383e-08 1.229247e-10 12.10462 74.84576 100.00000
 80 -2.411890e-04 -2.061169e-04 -7.007110e-04 9.087360e-05 6.943611e-04 5.417942e-08  0.01498  0.08281 100.00000
 81 -2.059931e-05 -3.896041e-06 -1.980661e-05 1.526321e-06 1.345677e-05 1.358303e-09  0.14831  3.88566 100.00000
 82 -8.882251e-06 -1.246111e-06 -9.840579e-06 2.959022e-07 3.490739e-06 2.472671e-10  0.34322 10.48624 100.00000
 83 -9.668883e-05 -5.644999e-05 -1.440005e-04 1.774671e-05 1.376507e-04 1.712684e-08  0.03333  0.32094 100.00000
 84 -2.338377e-04 -1.976042e-04 -7.092673e-04 9.220319e-05 7.029175e-04 7.983361e-08  0.01527  0.08705 100.00000
 85 -1.897176e-05 -3.016252e-06 -1.871032e-05 9.520902e-07 1.236048e-05 2.944780e-10  0.16086  4.54056 100.00000
 86 -4.669178e-05 -2.281886e-05 -6.075858e-05 6.619266e-06 5.440874e-05 3.924012e-09  0.06792  0.77571 100.00000
 87 -4.129628e-05 -1.550405e-05 -4.163844e-05 5.232430e-06 3.528860e-05 1.893330e-09  0.07511  1.17018 100.00000
 88 -6.257456e-05 -3.082078e-05 -1.036670e-04 1.298923e-05 9.731717e-05 1.157938e-08  0.05048  0.58217 100.00000
 89 -1.382927e-05 -3.935149e-06 -1.238218e-05 6.096671e-07 6.032342e-06 1.236189e-09  0.22297  4.39625 100.00000
 90 -1.366195e-04 -1.133286e-04 -2.283480e-04 2.964215e-05 2.219981e-04 6.665865e-08  0.02607  0.15889 100.00000
 91 -1.252148e-04 -9.202648e-05 -2.770189e-04 3.560578e-05 2.706691e-04 4.372711e-08  0.02694  0.19298 100.00000
 92 -1.571003e-05 -5.054044e-06 -1.302178e-05 1.020113e-06 6.671943e-06 1.590668e-09  0.19617  3.59712 100.00000
 93 -1.042692e-05 -3.373742e-06 -1.030862e-05 4.301899e-07 3.958781e-06 1.407545e-09  0.29627  5.14110 100.00000
 94 -2.541303e-06 -8.101263e-07 -7.002662e-06 9.332174e-08 6.528224e-07 5.682336e-10  1.21288 21.39861 100.00000
 95 -5.250193e-05 -3.375220e-05 -7.519394e-05 7.766972e-06 6.884410e-05 7.479508e-09  0.06304  0.55811 100.00000
 96 -2.065807e-04 -1.810207e-04 -6.783570e-04 8.563288e-05 6.720071e-04 7.325430e-08  0.01778  0.09344 100.00000
 97 -1.083054e-05 -1.439865e-06 -9.284358e-06 3.398848e-07 2.934518e-06 1.351422e-10  0.28104 10.06967 100.00000
 98 -1.037467e-04 -7.608697e-05 -2.078702e-04 2.538109e-05 2.015204e-04 2.199635e-08  0.03251  0.23518 100.00000
 99 -1.182714e-05 -1.808416e-06 -1.305754e-05 8.328996e-07 6.707700e-06 5.364582e-10  0.25769  8.03260 100.00000
100 -9.900216e-05 -6.059293e-05 -2.004801e-04 2.563678e-05 1.941303e-04 1.613493e-08  0.03286  0.29007 100.00000
101 -6.277594e-05 -3.728160e-05 -9.733145e-05 1.139173e-05 9.098161e-05 7.217340e-09  0.05148  0.48748 100.00000
102 -9.186702e-06 -1.298842e-06 -8.089669e-06 1.999358e-07 1.739829e-06 2.226970e-10  0.33151 11.19580 100.00000
103 -7.488254e-05 -3.947405e-05 -1.213402e-04 1.531674e-05 1.149903e-04 1.276752e-08  0.04258  0.44674 100.00000
104 -5.000407e-05 -2.092439e-05 -8.026903e-05 7.408349e-06 7.391919e-05 5.700481e-09  0.06261  0.81872 100.00000
105 -8.806548e-07 -4.033691e-07 -6.374070e-06 4.614735e-10 2.422983e-08 2.325106e-10  3.55887 44.64299 100.00000
106 -3.287193e-05 -7.913643e-06 -3.674671e-05 4.247030e-06 3.039687e-05 1.088530e-09  0.09317  2.11638 100.00000
107 -2.099712e-05 -5.323075e-06 -2.673880e-05 2.338439e-06 2.038896e-05 1.874699e-09  0.14631  2.92778 100.00000
108 -7.888194e-05 -4.809013e-05 -1.053229e-04 1.340461e-05 9.897309e-05 6.501759e-09  0.04124  0.37733 100.00000
109 -1.140279e-05 -2.758783e-06 -1.300401e-05 3.973444e-07 6.654165e-06 3.173883e-10  0.26902  5.73940 100.00000
110 -5.417888e-06 -1.981050e-06 -8.767243e-06 7.968310e-08 2.417403e-06 3.862419e-11  0.57368  8.65834 100.00000
111 -3.382614e-05 -1.376651e-05 -3.734721e-05 3.014085e-06 3.099737e-05 6.936487e-09  0.09232  1.29677 100.00000
112 -2.154073e-05 -7.729311e-06 -1.928348e-05 2.042197e-06 1.293364e-05 1.840825e-09  0.14380  2.32214 100.00000
113 -1.819322e-04 -1.682484e-04 -5.009010e-04 6.694135e-05 4.945512e-04 3.868037e-08  0.02077  0.10249 100.00000
114 -3.413380e-06 -7.452964e-07 -6.502577e-06 1.148144e-08 1.527366e-07 7.474191e-11  0.89584 22.05097 100.00000
115 -2.642297e-06 -8.640576e-07 -6.726915e-06 5.931211e-08 3.770751e-07 1.995647e-10  1.16679 20.78095 100.00000
116 -2.460137e-05 -1.106640e-05 -2.979286e-05 3.267032e-06 2.344302e-05 6.230049e-09  0.12729  1.67311 100.00000
117 -3.768901e-05 -1.234675e-05 -4.486512e-05 4.144939e-06 3.851528e-05 1.043954e-08  0.08214  1.33379 100.00000
118 -1.241005e-05 -2.076391e-06 -1.455446e-05 9.711283e-07 8.204623e-06 4.499242e-10  0.24576  7.20129 100.00000
