%Depth	   PO4	   NH4	    pH 	   TA	    Fe	    F	Mn	   NO3	   SO4	H2S
2.75	38.00	241.70	7.99	4940.00	6.70	64.40	2.10	NaN	NaN	0.20
3.50	48.00	274.30	7.95	5150.00	7.70	63.40	2.40	NaN	NaN	0.20
4.50	57.00	312.40	7.99	5560.00	5.00	61.90	1.70	NaN	NaN	1.30
5.50	67.00	349.10	8.06	5770.00	1.10	58.10	1.40	NaN	NaN	18.60
6.50	64.00	376.20	8.05	6270.00	0.20	55.40	1.10	NaN	NaN	56.50
8.50	68.00	390.90	8.02	6770.00	0.20	52.00	1.10	NaN	NaN	121.40
11.50	81.10	477.90	7.99	7560.00	0.20	52.70	1.70	NaN	NaN	240.00
15.50	84.10	586.60	7.96	8960.00	0.20	52.00	2.10	NaN	NaN	478.50
20.50	93.10	690.00	7.98	10410.00	0.20	51.70	2.10	NaN	NaN	711.50
25.50	86.10	776.90	8.00	11880.00	0.20	49.40	1.70	NaN	NaN	1019.00
30.50	91.10	866.70	8.05	13210.00	0.20	51.70	1.70	NaN	NaN	1260.00
40.50	87.10	953.70	7.99	14580.00	0.20	50.50	2.10	NaN	NaN	1562.00
50.50	92.10	1119.50	8.04	16880.00	0.20	47.80	2.10	NaN	NaN	1900.00
0.13	NaN	50.10	7.86	3090.00	22.20	75.30	NaN	95.60	25300.00	1.30
0.38	NaN	71.90	7.91	3050.00	14.90	70.40	NaN	5.70	25300.00	2.80
0.63	NaN	93.70	7.92	3080.00	20.10	71.30	NaN	4.40	25700.00	4.00
0.88	NaN	113.90	7.95	3660.00	15.90	74.20	NaN	3.00	25300.00	6.20
1.25	NaN	148.10	7.94	4160.00	17.00	69.40	NaN	1.90	25500.00	7.40
1.75	NaN	187.00	7.96	4430.00	17.50	65.90	NaN	1.60	25100.00	6.30
2.25	NaN	219.60	NaN	4770.00	15.90	64.30	NaN	1.30	25800.00	5.10
