% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
 80 -3.944423e-05 -1.608278e-05 -3.425892e-05 3.997094e-06 2.790908e-05 3.571665e-09  0.07903  1.13174 100.00000
 81 -9.989460e-07 -2.598303e-07 -6.349840e-06 7.807179e-09 -4.004138e-24 1.518379e-11  5.36353 100.00000 100.00000
 82 -2.634118e-07 1.609467e-08 -6.349840e-06 2.713203e-09 -9.745975e-26 -6.925034e+04 100.00000 100.00000 100.00000
 83 -8.750672e-06 -5.208760e-06 -7.204606e-06 1.704135e-07 8.547657e-07 3.955298e-10  0.37201  3.87583 100.00000
 84 -1.481679e-06 -7.581299e-07 -6.349840e-06 8.771950e-09 -2.183681e-23 2.654544e-11  2.95811 100.00000 100.00000
 85 -1.008596e-05 -5.785345e-06 -7.572597e-06 2.306936e-07 1.222757e-06 4.795881e-10  0.32037  3.44959 100.00000
 86 -1.075538e-05 -6.065171e-06 -7.783204e-06 2.644365e-07 1.433364e-06 5.236474e-10  0.29952  3.27394 100.00000
 87 -2.382142e-07 1.366644e-08 -6.349840e-06 2.451408e-09 -2.594645e-24 -1.360680e-10 100.00000 100.00000 100.00000
 88 -1.270623e-05 -6.852847e-06 -8.498035e-06 3.762833e-07 2.148195e-06 6.592779e-10  0.25177  2.86133 100.00000
 89 -2.242820e-05 -1.041879e-05 -1.437431e-05 1.238623e-06 8.024474e-06 1.492570e-09  0.14029  1.80894 100.00000
 90 -2.816474e-05 -1.237669e-05 -1.969701e-05 1.989542e-06 1.334717e-05 2.105596e-09  0.11122  1.50064 100.00000
 91 -2.627641e-05 -1.173959e-05 -1.779089e-05 1.722349e-06 1.144105e-05 1.893913e-09  0.11936  1.58903 100.00000
 92 -1.924559e-05 -9.296648e-06 -1.201961e-05 8.998811e-07 5.669767e-06 1.191175e-09  0.16407  2.04814 100.00000
 93 -1.556414e-05 -7.950321e-06 -9.821507e-06 5.767661e-07 3.471667e-06 8.771910e-10  0.20409  2.43045 100.00000
 94 -2.190541e-05 -1.023657e-05 -1.395837e-05 1.179179e-06 7.608527e-06 1.441161e-09  0.14371  1.84401 100.00000
 95 -3.948882e-06 -2.781383e-06 -6.431922e-06 3.011638e-08 8.208229e-08 1.355641e-10  0.88382  7.85879 100.00000
 96 -1.867298e-05 -9.091111e-06 -1.164086e-05 8.447979e-07 5.291025e-06 1.139892e-09  0.16923  2.09875 100.00000
 97 -7.528450e-07 -5.033583e-08 -6.349840e-06 7.005836e-09 -4.814983e-24 1.264318e-11  9.05119 100.00000 100.00000
