% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
117 -2.596586e-05 -1.163418e-05 -1.749192e-05 1.680290e-06 1.114208e-05 1.860029e-09  0.12082  1.60464 100.00000
118 -4.091406e-07 2.630909e-08 -6.349840e-06 4.207016e-09 -2.118905e-24 -1.532181e+02 82.88130 100.00000 100.00000
119 -1.813060e-05 -8.895238e-06 -1.129468e-05 7.942662e-07 4.944844e-06 1.092145e-09  0.17443  2.14930 100.00000
120 -1.858996e-06 -1.149236e-06 -6.350477e-06 9.503615e-09 6.372873e-10 4.060203e-11  2.18277 68.73712 100.00000
121 -5.159193e-07 2.172915e-08 -6.349840e-06 5.230422e-09 -5.210936e-25 1.097136e-11 40.96445 100.00000 100.00000
122 -1.214535e-05 -6.630158e-06 -8.276993e-06 3.420588e-07 1.927153e-06 6.191857e-10  0.26386  2.96739 100.00000
123 -4.757522e-07 2.341322e-08 -6.349840e-06 4.846194e-09 -5.395638e-24 -1.360680e-10 53.39580 100.00000 100.00000
124 -3.277319e-06 -2.360227e-06 -6.388170e-06 1.997029e-08 3.833031e-08 1.039884e-10  1.09366  9.40020 100.00000
125 -9.707476e-06 -5.624572e-06 -7.461275e-06 2.126586e-07 1.111435e-06 4.552429e-10  0.33349  3.55901 100.00000
126 -2.909181e-05 -1.268727e-05 -2.068837e-05 2.127927e-06 1.433853e-05 2.213070e-09  0.10762  1.46094 100.00000
127 -2.775403e-05 -1.223865e-05 -1.926952e-05 1.929752e-06 1.291968e-05 2.058730e-09  0.11290  1.51896 100.00000
128 -1.337521e-06 -6.002258e-07 -6.349840e-06 8.542486e-09 -9.341543e-24 2.218068e-11  3.41898 100.00000 100.00000
129 -2.350864e-05 -1.079308e-05 -1.527039e-05 1.366220e-06 8.920552e-06 1.601178e-09  0.13371  1.74083 100.00000
130 -5.112677e-06 -3.446301e-06 -6.543271e-06 5.319915e-08 1.934313e-07 1.926681e-10  0.66301  6.16555 100.00000
131 -6.107732e-06 -3.966249e-06 -6.675940e-06 7.846738e-08 3.261000e-07 2.443609e-10  0.54621  5.25895 100.00000
132 -4.767748e-06 -3.256545e-06 -6.505434e-06 4.562999e-08 1.555944e-07 1.753869e-10  0.71605  6.57504 100.00000
133 -2.872158e-07 1.838861e-08 -6.349840e-06 2.960519e-09 -9.745975e-26 6.925034e+04 100.00000 100.00000 100.00000
134 -6.831300e-06 -4.323432e-06 -6.794843e-06 1.000454e-07 4.450028e-07 2.837289e-10  0.48416  4.77261 100.00000
135 -3.239642e-05 -1.378423e-05 -2.452072e-05 2.659916e-06 1.817088e-05 2.615155e-09  0.09648  1.33583 100.00000
136 -2.397826e-05 -1.095488e-05 -1.567524e-05 1.423680e-06 9.325395e-06 1.649378e-09  0.13104  1.71291 100.00000
137 -1.948842e-06 -1.243433e-06 -6.350845e-06 9.705036e-09 1.005016e-09 4.431143e-11  2.05400 62.17357 100.00000
138 -1.304224e-06 -5.646762e-07 -6.349840e-06 8.483851e-09 -9.361554e-24 2.128031e-11  3.54621 100.00000 100.00000
139 -4.634863e-07 2.393205e-08 -6.349840e-06 4.728698e-09 -2.230116e-24 3.135534e-08 57.83429 100.00000 100.00000
140 -9.173082e-06 -5.394091e-06 -7.313565e-06 1.884734e-07 9.637254e-07 4.215674e-10  0.35396  3.72813 100.00000
141 -1.260882e-06 -5.189825e-07 -6.349840e-06 8.403853e-09 -9.387349e-24 2.017475e-11  3.72646 100.00000 100.00000
142 -2.495342e-07 1.475732e-08 -6.349840e-06 2.569019e-09 -2.594645e-24 -1.360680e-10 100.00000 100.00000 100.00000
143 -8.116127e-06 -4.924526e-06 -7.053757e-06 1.450327e-07 7.039175e-07 3.573846e-10  0.40287  4.12576 100.00000
144 -6.966396e-06 -4.388485e-06 -6.819172e-06 1.043736e-07 4.693317e-07 2.912475e-10  0.47410  4.69328 100.00000
145 -3.569929e-06 -2.547625e-06 -6.405455e-06 2.410679e-08 5.561531e-08 1.176424e-10  0.99117  8.66132 100.00000
146 -1.297017e-05 -6.956703e-06 -8.606416e-06 3.929678e-07 2.256576e-06 6.784493e-10  0.24645  2.81435 100.00000
147 -2.079052e-05 -9.845346e-06 -1.310967e-05 1.057407e-06 6.759834e-06 1.334021e-09  0.15160  1.92396 100.00000
