% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
 90 -2.527572e-04 -8.154270e-05 -1.358097e-03 1.766029e-04 1.351747e-03 9.611450e-08  0.01221  0.20825 11.51864
 91 -3.804958e-04 -1.202980e-04 -3.113833e-03 4.027403e-04 3.127366e-03 2.104499e-07  0.00810  0.14023  2.78691
 92 -3.447908e-04 -1.094704e-04 -2.550677e-03 3.302673e-04 2.558543e-03 1.740474e-07  0.00894  0.15432  3.60117
 93 -2.684859e-04 -8.631814e-05 -1.535468e-03 1.994809e-04 1.532906e-03 1.078102e-07  0.01149  0.19651  8.16601
 94 -3.007326e-04 -9.610492e-05 -1.933198e-03 2.507464e-04 1.934821e-03 1.338809e-07  0.01026  0.17615  5.37353
 95 -2.384005e-04 -7.718247e-05 -1.205711e-03 1.569380e-04 1.199361e-03 8.602301e-08  0.01294  0.22026 18.53541
 96 -1.269874e-04 -4.326064e-05 -3.351787e-04 4.382695e-05 3.288289e-04 2.665972e-08  0.02434  0.39933 100.00000
 97 -3.580131e-04 -1.134804e-04 -2.752676e-03 3.562675e-04 2.762576e-03 1.871260e-07  0.00861  0.14878  3.25778
 98 -2.850722e-04 -9.135262e-05 -1.734321e-03 2.251175e-04 1.733902e-03 1.208686e-07  0.01082  0.18548  6.44243
 99 -1.406897e-04 -4.744653e-05 -4.125671e-04 5.396509e-05 4.062173e-04 3.214994e-08  0.02196  0.36296 100.00000
100 -2.924370e-04 -9.358765e-05 -1.826502e-03 2.369980e-04 1.827035e-03 1.269054e-07  0.01055  0.18097  5.89346
101 -3.838544e-04 -1.213164e-04 -3.169697e-03 4.099274e-04 3.183793e-03 2.140515e-07  0.00803  0.13904  2.72628
102 -2.710569e-04 -8.709860e-05 -1.565498e-03 2.033532e-04 1.563275e-03 1.097856e-07  0.01138  0.19471  7.83553
103 -3.316273e-04 -1.054777e-04 -2.357230e-03 3.053619e-04 2.363145e-03 1.614967e-07  0.00930  0.16025  4.00940
104 -2.783141e-04 -8.930148e-05 -1.651836e-03 2.144846e-04 1.650550e-03 1.154582e-07  0.01108  0.18982  7.04357
105 -1.303795e-04 -4.429754e-05 -3.535725e-04 4.623824e-05 3.472226e-04 2.797159e-08  0.02371  0.38966 100.00000
106 -2.467865e-04 -7.972950e-05 -1.293618e-03 1.682834e-04 1.287268e-03 9.184986e-08  0.01250  0.21308 14.01202
107 -2.143341e-04 -6.986989e-05 -9.706361e-04 1.265801e-04 9.642862e-04 7.035708e-08  0.01440  0.24385 38.06381
108 -5.310328e-05 -2.043777e-05 -5.923723e-05 7.377674e-06 5.288739e-05 5.808598e-09  0.05852  0.87635 100.00000
109 -1.647232e-04 -5.477514e-05 -5.681362e-04 7.430244e-05 5.617864e-04 4.300618e-08  0.01875  0.31302 100.00000
110 -3.825396e-04 -1.209177e-04 -3.147768e-03 4.071061e-04 3.161642e-03 2.126379e-07  0.00806  0.13951  2.74975
111 -3.463044e-04 -1.099294e-04 -2.573410e-03 3.331935e-04 2.581504e-03 1.755205e-07  0.00890  0.15366  3.55880
112 -9.964179e-05 -3.488105e-05 -2.052707e-04 2.675597e-05 1.989208e-04 1.722105e-08  0.03106  0.49941 100.00000
113 -1.546089e-04 -5.169267e-05 -4.995869e-04 6.534687e-05 4.932370e-04 3.824700e-08  0.01998  0.33225 100.00000
114 -3.877780e-04 -1.225061e-04 -3.235588e-03 4.184041e-04 3.250346e-03 2.182977e-07  0.00795  0.13767  2.65816
115 -3.829131e-04 -1.210310e-04 -3.153989e-03 4.079066e-04 3.167927e-03 2.130390e-07  0.00805  0.13937  2.74305
116 -2.283099e-04 -7.411701e-05 -1.104042e-03 1.438119e-04 1.097692e-03 7.926383e-08  0.01352  0.22957 25.28689
117 -2.831088e-04 -9.075671e-05 -1.710149e-03 2.220017e-04 1.709478e-03 1.192840e-07  0.01090  0.18672  6.60614
118 -3.403175e-04 -1.081136e-04 -2.484082e-03 3.216941e-04 2.491276e-03 1.697297e-07  0.00906  0.15628  3.73156
119 -2.695096e-04 -8.662892e-05 -1.547391e-03 2.010184e-04 1.544965e-03 1.085947e-07  0.01145  0.19579  8.03063
120 -3.055540e-04 -9.756785e-05 -1.996602e-03 2.589153e-04 1.998870e-03 1.380206e-07  0.01009  0.17346  5.10902
121 -3.907251e-04 -1.233996e-04 -3.285527e-03 4.248281e-04 3.300786e-03 2.215144e-07  0.00789  0.13666  2.60881
122 -2.948565e-04 -9.432188e-05 -1.857309e-03 2.409678e-04 1.858157e-03 1.289207e-07  0.01046  0.17954  5.73230
123 -3.674288e-04 -1.163357e-04 -2.901216e-03 3.753832e-04 2.912611e-03 1.967275e-07  0.00839  0.14508  3.04552
124 -3.477916e-04 -1.103805e-04 -2.595844e-03 3.360814e-04 2.604165e-03 1.769740e-07  0.00887  0.15303  3.51800
125 -1.591444e-04 -5.307521e-05 -5.297727e-04 6.929147e-05 5.234229e-04 4.034692e-08  0.01941  0.32334 100.00000
126 -3.597418e-04 -1.140047e-04 -2.779655e-03 3.597396e-04 2.789827e-03 1.888708e-07  0.00857  0.14809  3.21698
127 -6.492018e-05 -2.414408e-05 -8.737808e-05 1.114539e-05 8.102824e-05 8.151331e-09  0.04779  0.73456 100.00000
128 -3.431623e-04 -1.089764e-04 -2.526330e-03 3.271331e-04 2.533951e-03 1.724692e-07  0.00899  0.15503  3.64772
129 -2.935452e-04 -9.392395e-05 -1.840580e-03 2.388122e-04 1.841257e-03 1.278265e-07  0.01051  0.18031  5.81859
130 -2.395776e-04 -7.754002e-05 -1.217864e-03 1.585066e-04 1.211514e-03 8.682944e-08  0.01288  0.21922 17.84306
131 -3.508887e-04 -1.113198e-04 -2.642879e-03 3.421357e-04 2.651673e-03 1.800202e-07  0.00879  0.15172  3.43553
132 -3.382004e-04 -1.074715e-04 -2.452872e-03 3.176760e-04 2.459751e-03 1.677052e-07  0.00912  0.15723  3.79612
133 -2.730891e-04 -8.771551e-05 -1.589441e-03 2.064404e-04 1.587483e-03 1.113598e-07  0.01130  0.19332  7.59484
134 -3.679615e-04 -1.164973e-04 -2.909736e-03 3.764796e-04 2.921217e-03 1.972779e-07  0.00838  0.14488  3.03421
135 -3.649932e-04 -1.155971e-04 -2.862417e-03 3.703905e-04 2.873422e-03 1.942208e-07  0.00845  0.14602  3.09816
136 -3.664877e-04 -1.160504e-04 -2.886195e-03 3.734502e-04 2.897439e-03 1.957571e-07  0.00841  0.14544  3.06568
137 -2.956368e-04 -9.455866e-05 -1.867298e-03 2.422551e-04 1.868249e-03 1.295740e-07  0.01043  0.17908  5.68210
138 -1.625605e-04 -5.411621e-05 -5.531022e-04 7.233901e-05 5.467523e-04 4.196527e-08  0.01900  0.31694 100.00000
139 -3.195099e-04 -1.018019e-04 -2.185905e-03 2.832994e-04 2.190090e-03 1.503576e-07  0.00965  0.16613  4.46216
140 -3.848541e-04 -1.216195e-04 -3.186421e-03 4.120789e-04 3.200684e-03 2.151295e-07  0.00801  0.13869  2.70865
141 -2.100013e-04 -6.855281e-05 -9.310245e-04 1.214614e-04 9.246747e-04 6.770304e-08  0.01470  0.24864 43.33163
142 -2.509711e-04 -8.100032e-05 -1.338644e-03 1.740931e-04 1.332294e-03 9.482866e-08  0.01229  0.20967 12.18266
143 -2.341194e-04 -7.588201e-05 -1.162029e-03 1.512990e-04 1.155679e-03 8.312171e-08  0.01318  0.22412 21.21155
144 -3.435733e-04 -1.091011e-04 -2.532464e-03 3.279227e-04 2.540146e-03 1.728668e-07  0.00898  0.15485  3.63588
145 -3.344926e-04 -1.063468e-04 -2.398687e-03 3.106998e-04 2.405020e-03 1.641886e-07  0.00922  0.15892  3.91395
146 -2.050833e-04 -6.705761e-05 -8.870653e-04 1.157797e-04 8.807155e-04 6.475209e-08  0.01505  0.25432 50.56886
147 -3.789388e-04 -1.198259e-04 -3.088104e-03 3.994301e-04 3.101379e-03 2.087906e-07  0.00814  0.14079  2.81577
148 -1.179342e-04 -4.049093e-05 -2.885517e-04 3.770898e-05 2.822019e-04 2.331094e-08  0.02622  0.42767 100.00000
149 -9.378246e-05 -3.307914e-05 -1.816859e-04 2.364596e-05 1.753360e-04 1.546177e-08  0.03301  0.52781 100.00000
150 -3.932268e-04 -1.241581e-04 -3.328218e-03 4.303197e-04 3.343906e-03 2.242635e-07  0.00784  0.13582  2.56810
151 -3.251564e-04 -1.035148e-04 -2.264933e-03 2.934770e-04 2.269917e-03 1.554987e-07  0.00948  0.16334  4.24058
152 -3.526757e-04 -1.118617e-04 -2.670209e-03 3.456535e-04 2.679279e-03 1.817897e-07  0.00874  0.15097  3.38943
153 -1.461199e-04 -4.910369e-05 -4.455077e-04 5.827553e-05 4.391579e-04 3.446622e-08  0.02114  0.35032 100.00000
154 -2.211686e-04 -7.194706e-05 -1.034800e-03 1.348693e-04 1.028450e-03 7.464670e-08  0.01395  0.23665 31.17656
155 -4.796301e-05 -1.881030e-05 -4.888916e-05 5.983034e-06 4.253932e-05 4.907490e-09  0.06485  0.95725 100.00000
156 -3.127879e-04 -9.976260e-05 -2.093653e-03 2.714174e-04 2.096905e-03 1.443496e-07  0.00986  0.16958  4.75413
157 -3.874124e-04 -1.223952e-04 -3.229420e-03 4.176105e-04 3.244115e-03 2.179003e-07  0.00796  0.13780  2.66439
158 -2.745999e-04 -8.817410e-05 -1.607359e-03 2.087506e-04 1.605596e-03 1.125372e-07  0.01123  0.19229  7.42616
159 -2.496614e-04 -8.060258e-05 -1.324468e-03 1.722641e-04 1.318119e-03 9.389124e-08  0.01236  0.21072 12.71633
160 -2.972681e-04 -9.505367e-05 -1.888270e-03 2.449575e-04 1.889435e-03 1.309451e-07  0.01038  0.17813  5.57978
161 -1.225111e-04 -4.189165e-05 -3.116766e-04 4.074427e-05 3.053268e-04 2.497624e-08  0.02524  0.41286 100.00000
162 -3.518664e-04 -1.116163e-04 -2.657814e-03 3.440580e-04 2.666759e-03 1.809872e-07  0.00876  0.15131  3.41018
163 -2.649645e-04 -8.524910e-05 -1.494810e-03 1.942377e-04 1.491769e-03 1.051336e-07  0.01164  0.19902  8.67670
164 -1.502804e-04 -5.037280e-05 -4.716184e-04 6.169049e-05 4.652686e-04 3.629485e-08  0.02056  0.34123 100.00000
165 -2.620766e-04 -8.437234e-05 -1.461875e-03 1.899899e-04 1.458419e-03 1.029635e-07  0.01177  0.20113  9.16126
166 -2.026837e-04 -6.632798e-05 -8.660037e-04 1.130569e-04 8.596538e-04 6.333601e-08  0.01523  0.25719 54.79807
167 -2.151715e-04 -7.012440e-05 -9.783864e-04 1.275815e-04 9.720366e-04 7.087583e-08  0.01434  0.24294 37.13694
168 -5.890780e-05 -2.226351e-05 -7.230145e-05 9.130507e-06 6.595161e-05 6.912134e-09  0.05270  0.80032 100.00000
169 -1.934708e-04 -6.352603e-05 -7.874962e-04 1.029048e-04 7.811463e-04 5.804383e-08  0.01596  0.26882 82.39908
170 -2.811817e-04 -9.017184e-05 -1.686590e-03 2.189649e-04 1.685672e-03 1.177388e-07  0.01097  0.18795  6.77513
171 -1.364064e-04 -4.613874e-05 -3.874937e-04 5.068229e-05 3.811439e-04 3.037916e-08  0.02266  0.37359 100.00000
172 -2.584231e-04 -8.326310e-05 -1.420734e-03 1.846834e-04 1.416702e-03 1.002505e-07  0.01194  0.20386  9.90007
173 -2.760930e-04 -8.862730e-05 -1.625165e-03 2.110462e-04 1.623594e-03 1.137069e-07  0.01117  0.19129  7.26719
174 -3.035762e-04 -9.696776e-05 -1.970470e-03 2.555485e-04 1.972472e-03 1.363149e-07  0.01016  0.17456  5.21456
175 -3.086683e-04 -9.851274e-05 -2.038101e-03 2.642614e-04 2.040790e-03 1.407280e-07  0.00999  0.17177  4.95053
176 -2.364297e-04 -7.658382e-05 -1.185502e-03 1.543293e-04 1.179152e-03 8.468125e-08  0.01305  0.22202 19.73583
177 -1.896476e-04 -6.236296e-05 -7.561614e-04 9.883238e-05 7.498116e-04 5.591508e-08  0.01628  0.27396 100.00000
178 -1.517343e-04 -5.081620e-05 -4.809217e-04 6.290690e-05 4.745718e-04 3.694493e-08  0.02036  0.33816 100.00000
179 -3.138506e-04 -1.000850e-04 -2.108105e-03 2.732788e-04 2.111503e-03 1.452913e-07  0.00983  0.16903  4.70573
180 -2.337995e-04 -7.578480e-05 -1.158796e-03 1.508817e-04 1.152446e-03 8.290685e-08  0.01320  0.22441 21.42203
181 -3.265074e-04 -1.039247e-04 -2.284052e-03 2.959390e-04 2.289228e-03 1.567417e-07  0.00945  0.16268  4.19042
182 -3.583410e-04 -1.135798e-04 -2.757782e-03 3.569246e-04 2.767734e-03 1.874562e-07  0.00861  0.14865  3.24998
183 -3.606126e-04 -1.142687e-04 -2.793294e-03 3.614950e-04 2.803603e-03 1.897528e-07  0.00855  0.14774  3.19675
184 -3.322221e-04 -1.056581e-04 -2.365806e-03 3.064662e-04 2.371808e-03 1.620537e-07  0.00928  0.15997  3.98926
185 -2.081735e-04 -6.799713e-05 -9.145621e-04 1.193338e-04 9.082123e-04 6.659864e-08  0.01483  0.25073 45.83676
186 -3.015448e-04 -9.635137e-05 -1.943807e-03 2.521133e-04 1.945538e-03 1.345739e-07  0.01023  0.17569  5.32722
187 -3.107934e-04 -9.915750e-05 -2.066665e-03 2.679409e-04 2.069643e-03 1.425905e-07  0.00992  0.17064  4.84742
