% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
153 -5.953550e-04 8.947253e-06 -3.125978e-04 3.024521e-05 3.062482e-04 3.556978e-08  0.16891  0.39192 100.00000
154 -9.392022e-07 9.137747e-08 -6.349613e-06 3.679183e-09 -7.838362e-22     NaN 100.00000 100.00000 100.00000
155 -2.092412e-04 -3.267109e-06 -4.659929e-05 9.492594e-06 4.024968e-05 7.824555e-09  0.49063  0.89521 100.00000
156 -1.836621e-04 -3.788168e-06 -7.933448e-05 1.204403e-05 7.298487e-05 6.238012e-09  0.56989  0.94550 100.00000
157 -6.106786e-05 -1.026341e-06 -2.753961e-05 2.365388e-06 2.119000e-05 3.380934e-10  1.86286  2.67158 100.00000
158 -1.103148e-03 -1.202740e-05 -7.697116e-04 1.050617e-04 7.633620e-04 6.770248e-08  0.09495  0.16476 100.00000
159 -6.852261e-04 -4.432737e-06 -4.429033e-04 5.215704e-05 4.365537e-04 4.332167e-08  0.15178  0.27703 100.00000
160 -1.524845e-04 -3.209662e-07 -3.021863e-05 2.308733e-06 2.386902e-05 3.912399e-09  0.66650  1.35103 100.00000
161 -4.279508e-07 2.486282e-08 -6.349613e-06 5.619991e-09 2.864947e-22 NaN 100.00000 100.00000 100.00000
162 -8.712523e-06 -1.674938e-07 -9.268327e-06 3.665975e-07 2.918714e-06 NaN 12.96910 18.09767 100.00000
163 -8.328095e-05 -1.307146e-06 -3.527852e-05 3.946353e-06 2.892891e-05 1.408026e-09  1.33477  2.02266 100.00000
164 -9.232751e-07 8.487830e-08 -6.349613e-06 5.199162e-09 8.800030e-22 NaN 100.00000 100.00000 100.00000
165 -2.584395e-06 2.987020e-09 -6.435926e-06 4.735119e-08 8.631344e-08     NaN 59.40441 67.97043 100.00000
166 -2.285313e-05 -2.361974e-07 -9.311467e-06 1.158218e-07 2.961854e-06 NaN  4.57094  7.92422 100.00000
167 -3.897877e-05 -8.781143e-07 -8.331773e-06 1.343922e-06 1.982160e-06 4.511418e-10  2.73099  4.23597 100.00000
168 -9.694162e-06 -2.126980e-07 -7.559559e-06 3.054815e-07 1.209947e-06 NaN 11.10173 16.62251 100.00000
169 -1.790706e-04 -2.980395e-06 -3.154534e-05 6.772924e-06 2.519572e-05 5.633198e-09  0.56973  1.05216 100.00000
170 -1.033467e-03 -7.419322e-06 -6.432414e-04 8.869361e-05 6.368918e-04 6.052846e-08  0.10142  0.17976 100.00000
171 -3.404012e-04 -2.626615e-06 -1.794643e-04 1.789500e-05 1.731147e-04 3.922950e-08  0.32073  0.52105 100.00000
172 -5.658973e-06 -5.776624e-08 -7.775595e-06 1.229389e-07 1.425983e-06 NaN 21.05499 28.05374 100.00000
173 -2.134679e-05 -3.577035e-07 -9.017406e-06 7.892007e-07 2.667793e-06 NaN  4.76740  8.86942 100.00000
174 -9.354789e-05 -1.424562e-06 -3.679024e-05 5.330833e-06 3.044063e-05 7.300262e-10  1.13809  1.86863 100.00000
175 -5.093427e-05 -7.643567e-07 -1.455175e-05 1.547214e-06 8.202136e-06 1.117300e-09  2.16539  3.27967 100.00000
176 -1.281415e-03 -1.994063e-05 -9.136178e-04 1.424996e-04 9.072682e-04 1.285182e-07  0.08195  0.13763 100.00000
177 -2.760300e-05 -1.277794e-08 -1.007222e-05 4.221445e-07 3.722603e-06 9.434380e-11  3.63587  7.89562 100.00000
178 -7.090984e-06 -4.005892e-08 -6.887384e-06 1.465580e-08 5.377717e-07 NaN 15.26460 23.92285 100.00000
179 -5.030201e-05 -1.010698e-06 -1.097380e-05 2.276135e-06 4.624191e-06 1.052005e-10  1.99552  3.85929 100.00000
180 -1.770372e-05 -1.776197e-07 -6.741774e-06 1.137852e-07 3.921614e-07 9.026636e-11  6.06628  9.80736 100.00000
181 -4.301737e-06 -2.674601e-08 -6.694605e-06 5.311301e-08 3.449925e-07 NaN 28.67115 37.19707 100.00000
182 -1.049277e-05 -1.355847e-07 -6.421038e-06 -1.709183e-08 7.142529e-08 NaN  9.98571 16.74467 100.00000
183 -2.836802e-06 2.285400e-08 -6.524288e-06 1.095794e-08 1.746758e-07 NaN 49.82129 59.47512 100.00000
184 -1.495934e-04 -2.870575e-06 -8.801474e-05 1.158133e-05 8.166513e-05 7.153766e-09  0.71087  1.14410 100.00000
185 -4.197793e-04 -6.547500e-06 -2.412949e-04 3.170297e-05 2.349453e-04 4.703714e-08  0.28038  0.39315 100.00000
186 -5.227744e-04 -9.101159e-06 -1.947054e-04 3.659698e-05 1.883558e-04 5.556485e-08  0.19660  0.35178 100.00000
187 -1.977874e-06 4.190829e-08 -6.349613e-06 2.866023e-08 2.661112e-22 NaN 91.91129 100.00000 100.00000
188 -7.733037e-06 -1.507824e-07 -8.669477e-06 3.548077e-07 2.319865e-06 NaN 15.32797 20.12229 100.00000
189 -5.651051e-04 -2.314062e-07 -2.472036e-04 2.103482e-05 2.408539e-04 4.839605e-08  0.19503  0.32085 100.00000
190 -1.134144e-04 -2.439335e-06 -2.509295e-05 4.861434e-06 1.874333e-05 1.152451e-09  0.92617  1.51136 100.00000
191 -7.328822e-04 -8.659188e-06 -4.156360e-04 5.157944e-05 4.092864e-04 1.347808e-07  0.14262  0.24787 100.00000
192 -1.099272e-05 -1.864213e-07 -7.520081e-06 2.462565e-07 1.170468e-06 NaN  9.64129 15.54390 100.00000
193 -5.892828e-04 -3.558690e-06 -2.087167e-04 3.773443e-05 2.023670e-04 2.587064e-08  0.17121  0.35388 100.00000
194 -1.373232e-06 7.789410e-08 -6.349613e-06 3.096412e-08 5.691176e-22     NaN 100.00000 100.00000 100.00000
195 -4.997003e-04 -5.314990e-06 -3.011616e-04 3.333112e-05 2.948120e-04 2.784307e-08  0.22899  0.33866 100.00000
196 -3.284061e-05 -6.006858e-07 -2.006533e-05 1.978221e-06 1.371572e-05 5.884176e-10  3.18966  5.34739 100.00000
197 -1.161196e-04 -1.216130e-06 -2.584320e-05 5.151749e-06 1.949358e-05 9.185353e-10  0.87305  1.71167 100.00000
198 -1.150324e-03 -6.334456e-06 -1.033200e-03 1.154765e-04 1.026850e-03 1.136174e-07  0.09237  0.15838 100.00000
199 -1.026171e-03 -1.632102e-05 -5.260705e-04 8.111764e-05 5.197209e-04 5.925205e-08  0.10327  0.16830 100.00000
200 -5.854750e-04 -9.297241e-06 -3.256180e-04 4.711034e-05 3.192684e-04 3.795857e-08  0.18005  0.30111 100.00000
