% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
140 -3.367452e-05 -7.712462e-06 -3.052930e-05 3.724444e-06 2.417968e-05 2.384444e-09  0.09002  2.13035 100.00000
141 -2.106498e-04 -1.239632e-04 -1.101907e-03 1.358771e-04 1.095558e-03 1.388478e-07  0.01525  0.13477 100.00000
142 -1.942773e-04 -1.463611e-04 -9.404985e-04 1.191285e-04 9.341488e-04 8.695960e-08  0.01723  0.11987 100.00000
143 -1.610231e-06 -5.843993e-07 -6.684637e-06 7.571642e-09 3.350244e-07 4.290302e-10  1.90720 28.90292 100.00000
144 -2.010882e-06 -6.077392e-07 -6.358512e-06 2.012175e-08 8.899409e-09 2.719306e-10  1.51543 28.54269 100.00000
145 -8.030627e-06 -1.250142e-06 -7.400998e-06 3.157802e-07 1.051386e-06 5.943898e-10  0.37591 12.06216 100.00000
146 -1.589373e-05 -1.689214e-06 -1.539262e-05 6.524144e-07 9.043007e-06 5.720499e-10  0.18972  6.88636 100.00000
147 -5.397017e-05 -1.730023e-05 -9.621708e-05 1.273821e-05 8.986746e-05 1.267874e-08  0.05663  0.97806 100.00000
148 -1.107935e-06 -4.492792e-07 -6.415371e-06 2.515560e-09 6.575890e-08 7.413241e-10  2.78636 38.00865 100.00000
149 -5.785311e-05 -1.757090e-05 -7.519436e-05 9.937740e-06 6.884475e-05 6.219951e-09  0.05267  1.01013 100.00000
150 -3.147814e-05 -9.731318e-06 -4.038737e-05 3.523326e-06 3.403776e-05 3.165844e-09  0.09709  1.68986 100.00000
151 -3.011623e-05 -1.056767e-05 -4.433408e-05 3.936539e-06 3.798447e-05 2.392686e-09  0.10187  1.63763 100.00000
152 -2.434049e-04 -1.343554e-04 -1.089317e-03 1.411821e-04 1.082967e-03 2.494974e-07  0.01300  0.13052 100.00000
153 -1.539038e-04 -5.508558e-05 -5.356787e-04 6.638250e-05 5.293291e-04 3.997789e-08  0.02003  0.28689 100.00000
154 -5.245969e-07 -3.099831e-07 -6.365887e-06 -5.269610e-10 1.627484e-08 -7.308881e-11  6.06180 57.05177 100.00000
155 -7.153665e-05 -2.487764e-05 -1.246121e-04 1.651773e-05 1.182625e-04 1.123060e-08  0.04281  0.70831 100.00000
156 -6.409199e-05 -2.453157e-05 -1.420202e-04 1.826430e-05 1.356706e-04 1.489684e-08  0.04794  0.72684 100.00000
157 -2.775593e-05 -1.016642e-05 -4.041302e-05 3.844106e-06 3.406341e-05 2.360632e-09  0.11068  1.70995 100.00000
158 -2.486348e-04 -1.445887e-04 -1.222508e-03 1.598738e-04 1.216158e-03 6.950515e-08  0.01280  0.12131 100.00000
159 -1.695429e-04 -8.535926e-05 -7.005725e-04 8.901375e-05 6.942229e-04 4.757959e-08  0.01852  0.20199 100.00000
160 -5.785495e-05 -1.554556e-05 -7.807927e-05 8.827608e-06 7.172966e-05 7.034220e-09  0.05264  1.03239 100.00000
161 -1.921969e-07 -1.851349e-07 -6.354383e-06 1.465520e-09 4.769986e-09 5.020323e-08 18.90020 90.60959 100.00000
162 -5.849721e-06 -1.365879e-06 -1.004042e-05 3.978666e-07 3.690812e-06 4.981734e-10  0.51862 11.75920 100.00000
163 -3.532059e-05 -1.287560e-05 -5.607101e-05 6.113843e-06 4.972140e-05 4.099679e-09  0.08705  1.32544 100.00000
164 -4.510037e-07 -3.051819e-07 -6.392356e-06 3.952566e-10 4.274389e-08 1.139912e-10  7.21358 57.48701 100.00000
165 -1.480068e-06 -5.897634e-07 -6.556315e-06 3.069888e-08 2.067022e-07 5.036533e-10  2.08224 29.43109 100.00000
166 -1.453935e-05 -2.529605e-06 -1.273878e-05 5.943512e-07 6.389167e-06 5.694373e-10  0.20792  5.87091 100.00000
167 -2.146532e-05 -5.418051e-06 -1.693954e-05 1.941455e-06 1.058993e-05 2.043962e-09  0.14136  3.17279 100.00000
168 -6.977026e-06 -1.346809e-06 -8.484250e-06 3.547645e-07 2.134638e-06 2.792888e-10  0.43333 12.14245 100.00000
169 -6.445237e-05 -2.064172e-05 -9.657419e-05 1.275025e-05 9.022457e-05 1.046917e-08  0.04736  0.85679 100.00000
170 -2.358291e-04 -1.339263e-04 -1.067775e-03 1.395158e-04 1.061425e-03 6.296676e-08  0.01348  0.12943 100.00000
171 -9.794340e-05 -5.017786e-05 -2.861399e-04 3.410468e-05 2.797903e-04 5.098702e-08  0.03217  0.34211 100.00000
172 -3.757930e-06 -9.519648e-07 -8.197866e-06 1.280760e-07 1.848254e-06 2.827406e-11  0.80965 16.19151 100.00000
173 -1.394187e-05 -2.083183e-06 -1.281009e-05 1.082665e-06 6.460479e-06 1.203452e-09  0.21643  7.24765 100.00000
174 -3.950662e-05 -1.245376e-05 -6.353724e-05 7.876664e-06 5.718763e-05 4.236761e-09  0.07738  1.32711 100.00000
175 -2.531540e-05 -7.554944e-06 -2.562788e-05 2.611626e-06 1.927827e-05 3.877063e-09  0.12054  2.18980 100.00000
176 -2.816417e-04 -1.721104e-04 -1.477487e-03 1.974991e-04 1.471138e-03 1.326694e-07  0.01136  0.10312 100.00000
177 -1.720596e-05 -1.982264e-06 -1.524091e-05 1.052142e-06 8.891301e-06 2.300686e-10  0.17528  6.23513 100.00000
178 -5.368630e-06 -8.479012e-07 -7.364667e-06 6.131394e-08 1.015054e-06 4.351817e-11  0.56321 15.77693 100.00000
179 -2.669150e-05 -4.951426e-06 -2.507836e-05 3.256429e-06 1.872875e-05 4.128704e-10  0.11317  3.38505 100.00000
180 -1.181789e-05 -2.159743e-06 -9.066009e-06 3.666986e-07 2.716396e-06 2.062227e-10  0.25602  6.81280 100.00000
181 -2.994181e-06 -7.728759e-07 -6.906207e-06 4.925536e-08 5.565949e-07 9.087608e-11  1.01634 20.28211 100.00000
182 -7.859049e-06 -1.190737e-06 -7.411357e-06 9.941843e-08 1.061744e-06 4.193386e-10  0.38401 12.68561 100.00000
183 -1.792095e-06 -6.013234e-07 -6.687370e-06 3.154596e-09 3.377572e-07 3.692736e-10  1.70916 27.68753 100.00000
184 -5.459714e-05 -2.082720e-05 -1.340503e-04 1.670954e-05 1.277007e-04 1.652711e-08  0.05633  0.83372 100.00000
185 -1.105559e-04 -7.467060e-05 -3.747317e-04 4.639866e-05 3.683821e-04 6.116929e-08  0.02957  0.23647 100.00000
186 -1.386428e-04 -6.411416e-05 -4.182954e-04 5.660216e-05 4.119458e-04 6.582773e-08  0.02240  0.28105 100.00000
187 -9.837561e-07 -4.623486e-07 -6.453874e-06 1.486831e-08 1.042614e-07 9.371779e-11  3.16548 37.56966 100.00000
188 -4.941690e-06 -1.375525e-06 -9.334207e-06 3.552535e-07 2.984594e-06 1.692304e-10  0.61596 12.09412 100.00000
189 -1.446365e-04 -8.447321e-05 -4.322488e-04 5.063901e-05 4.258992e-04 5.346767e-08  0.02219  0.20270 100.00000
190 -4.608377e-05 -1.540864e-05 -6.099154e-05 7.845882e-06 5.464192e-05 4.671582e-09  0.06631  1.16293 100.00000
191 -1.788570e-04 -9.569623e-05 -6.963735e-04 8.910708e-05 6.900239e-04 1.425325e-07  0.01762  0.18447 100.00000
192 -7.934997e-06 -1.321962e-06 -8.666526e-06 3.372084e-07 2.316913e-06 3.437278e-10  0.38067 11.52879 100.00000
193 -1.528017e-04 -6.141696e-05 -4.675995e-04 6.296059e-05 4.612499e-04 2.833873e-08  0.02020  0.28159 100.00000
194 -6.455931e-07 -3.858255e-07 -6.388323e-06 1.502334e-08 3.871084e-08 -3.127798e-11  4.91899 46.54872 100.00000
195 -1.282084e-04 -8.334669e-05 -4.586060e-04 5.578328e-05 4.522564e-04 2.930127e-08  0.02536  0.20886 100.00000
196 -1.864127e-05 -3.920062e-06 -2.655396e-05 2.608544e-06 2.020435e-05 1.334880e-09  0.16248  4.01998 100.00000
197 -4.771901e-05 -1.190856e-05 -6.500159e-05 8.664440e-06 5.865198e-05 1.931308e-09  0.06365  1.36331 100.00000
198 -2.560426e-04 -1.561497e-04 -1.450716e-03 1.841757e-04 1.444366e-03 1.169783e-07  0.01255  0.10999 100.00000
199 -2.345035e-04 -1.435344e-04 -9.542892e-04 1.259448e-04 9.479396e-04 6.176277e-08  0.01364  0.12455 100.00000
200 -1.494435e-04 -7.987771e-05 -5.551136e-04 7.249120e-05 5.487640e-04 4.349534e-08  0.02107  0.22257 100.00000
